
StnID: ksdf    Profile Thermal Adjust:  0.0       Cloud RH threshold:  85%    Average Hourly Sounding: NO

 Date/hour    FHr  Wind    SfcT   Ptype   SR |Snow||Sleet|| FZRA|| QPF    CumSR|TotSN||TotPL||TotZR|| TQPF   S%| I%| L%
============================================================================================================================
190812/1300Z   1  16003KT  77.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/1400Z   2  23005KT  78.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/1500Z   3  25005KT  82.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/1600Z   4  24004KT  77.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/1700Z   5  20004KT  78.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/1800Z   6  22004KT  87.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
190812/1900Z   7  23005KT  90.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/2000Z   8  23006KT  89.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/2100Z   9  25005KT  90.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/2200Z  10  22006KT  89.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190812/2300Z  11  21007KT  88.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190813/0000Z  12  23007KT  85.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
190813/0100Z  13  21005KT  84.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190813/0200Z  14  19005KT  83.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190813/0300Z  15  20006KT  82.8F    DZ    0:1| 0.0|| 0.00|| 0.00|| 0.011    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|100
190813/0400Z  16  20007KT  82.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|  0
190813/0500Z  17  21008KT  81.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|  0
190813/0600Z  18  22008KT  81.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
190813/0700Z  19  22009KT  81.2F    DZ    0:1| 0.0|| 0.00|| 0.00|| 0.045    0:1|  0.0|| 0.00|| 0.00|| 0.06    0|  0|100
190813/0800Z  20  23009KT  80.7F    DZ    0:1| 0.0|| 0.00|| 0.00|| 0.034    0:1|  0.0|| 0.00|| 0.00|| 0.09    0|  0|100
190813/0900Z  21  24008KT  80.0F    DZ    0:1| 0.0|| 0.00|| 0.00|| 0.061    0:1|  0.0|| 0.00|| 0.00|| 0.15    0|  0|100
190813/1000Z  22  23009KT  79.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.15    0|  0|  0
190813/1100Z  23  24009KT  79.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.15    0|  0|  0
190813/1200Z  24  24009KT  79.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.15    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
