
StnID: kbos    Profile Thermal Adjust:  0.0       Cloud RH threshold:  85%    Average Hourly Sounding: NO

 Date/hour    FHr  Wind    SfcT   Ptype   SR |Snow||Sleet|| FZRA|| QPF    CumSR|TotSN||TotPL||TotZR|| TQPF   S%| I%| L%
============================================================================================================================
180103/1300Z   1  23003KT  13.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/1400Z   2  24003KT  17.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/1500Z   3  22003KT  19.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/1600Z   4  20004KT  22.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180103/1700Z   5  20005KT  24.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/1800Z   6  20005KT  25.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/1900Z   7  20005KT  26.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/2000Z   8  20004KT  25.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180103/2100Z   9  19003KT  22.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/2200Z  10  19003KT  20.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180103/2300Z  11  20004KT  20.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0000Z  12  20003KT  19.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180104/0100Z  13  20003KT  19.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0200Z  14  VRB02KT  18.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0300Z  15  VRB01KT  18.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0400Z  16  35003KT  19.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180104/0500Z  17  36004KT  18.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0600Z  18  36004KT  19.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0700Z  19  36005KT  20.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180104/0800Z  20  01007KT  20.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180104/0900Z  21  02008KT  22.5F  SNOW    8:1| 0.2|| 0.00|| 0.00|| 0.022    8:1|  0.2|| 0.00|| 0.00|| 0.02  100|  0|  0
180104/1000Z  22  02009KT  25.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    8:1|  0.2|| 0.00|| 0.00|| 0.02    0|  0|  0
180104/1100Z  23  02009KT  28.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    8:1|  0.2|| 0.00|| 0.00|| 0.02    0|  0|  0
180104/1200Z  24  02011KT  31.7F  SNOW    6:1| 0.3|| 0.00|| 0.00|| 0.046    7:1|  0.4|| 0.00|| 0.00|| 0.07  100|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180104/1300Z  25  03012KT  33.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    7:1|  0.4|| 0.00|| 0.00|| 0.07    0|  0|  0
180104/1400Z  26  03011KT  33.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    7:1|  0.4|| 0.00|| 0.00|| 0.07    0|  0|  0
