STATION =  70.20N 148.47W ASC
19062713    12
****************************************************
 ASC  19062713 FORECAST PROJECTION= 0
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.1 99.0  21.0 118.   12.   0.    0.
  49 -38.5 99.0  16.1 137.   17.   0.    0.
  48 -41.9 99.0  14.6 147.   22.   0.    0.
  47 -44.0 99.0  14.8 141.   28.   0.    0.
  46 -45.7 99.0  13.8 129.   34.   0.    0.
  45 -47.0 99.0  12.0 117.   40.   0.    0.
  44 -47.5 99.0  10.3 106.   47.   0.    0.
  43 -48.0 99.0   8.2  90.   54.   0.    0.
  42 -48.1 99.0   5.4  75.   62.   0.    0.
  41 -47.7 99.0   4.2  62.   71.   0.    0.
  40 -47.0 99.0   5.7  28.   81.   0.    0.
  39 -47.0 99.0   9.2  13.   94.   0.    0.
  38 -47.1 99.0  11.9   7.  108.   0.    0.
  37 -47.0 99.0  14.8 360.  122.   0.    0.
  36 -47.0 99.0  19.1 355.  136.   0.    0.
  35 -47.0 99.0  23.2 356.  150.   0.    0.
  34 -47.1 99.0  28.2 358.  164.   0.    0.
  33 -47.8 99.0  35.2 350.  178.   0.    0.
  32 -48.9 99.0  42.2 340.  192.   0.    0.
  31 -50.5 22.3  46.8 344.  206.   5.    0.
  30 -54.2 10.3  67.8 352.  220.  27.    0.
  29 -57.3  6.7  87.6 340.  234.  42.   -1.
  28 -53.5  6.1  81.3 336.  249.  47.   -4.
  27 -49.1  6.2  83.1 335.  266.  48.   -6.
  26 -44.7  5.9  83.4 336.  284.  51.   -6.
  25 -41.4  5.8  78.9 340.  305.  54.   -3.
  24 -39.7  5.9  62.9 341.  327.  54.    1.
  23 -36.7 10.8  53.8 335.  353.  32.    2.
  22 -33.0 15.1  47.0 335.  381.  21.    2.
  21 -28.8 14.2  41.1 337.  412.  24.    0.
  20 -24.6 13.0  37.3 336.  447.  29.   -1.
  19 -20.1 13.6  33.0 335.  486.  29.   -2.
  18 -15.8 12.8  28.3 334.  530.  33.   -2.
  17 -11.5 12.3  23.6 332.  578.  36.   -2.
  16  -7.4 18.4  19.6 331.  628.  21.   -2.
  15  -4.2 24.0  17.4 329.  675.  13.   -1.
  14  -1.3 22.6  16.7 329.  720.  16.   -1.
  13   1.3 20.8  15.7 330.  761.  20.   -1.
  12   3.6 21.3  12.6 329.  800.  19.   -1.
  11   5.4 21.8   9.0 327.  835.  19.   -1.
  10   6.9 19.5   5.1 320.  867.  23.    0.
   9   8.0 17.7   1.4 326.  896.  27.    0.
   8   9.0 17.5   3.5 124.  922.  28.    1.
   7   9.5 19.6   9.2 136.  946.  24.    1.
   6   9.4 19.9  15.2 139.  968.  23.    1.
   5   8.7 17.5  21.1 138.  986.  28.    1.
   4   6.4 13.0  20.5 135. 1000.  39.    0.
   3   3.9  6.3  13.6 126. 1010.  64.    0.
   2   4.0  5.5  12.2 124. 1015.  68.    0.
   1   4.0  4.3   6.6 118. 1018.  74.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1019.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 1
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.0 99.0  22.7 118.   12.   0.    0.
  49 -38.5 99.0  15.2 130.   17.   0.    0.
  48 -42.2 99.0  13.7 141.   22.   0.    0.
  47 -44.1 99.0  14.6 143.   28.   0.    0.
  46 -45.4 99.0  14.0 142.   34.   0.    0.
  45 -46.4 99.0  11.8 132.   40.   0.    0.
  44 -47.0 99.0  10.5 120.   47.   0.    0.
  43 -47.7 99.0   9.7 105.   54.   0.    0.
  42 -48.1 99.0   7.6  89.   62.   0.    0.
  41 -48.3 99.0   5.9  73.   71.   0.    0.
  40 -47.4 99.0   6.0  38.   81.   0.    0.
  39 -47.1 99.0   9.2  13.   94.   0.    0.
  38 -47.2 99.0  12.7  11.  108.   0.    0.
  37 -47.3 99.0  15.6   2.  122.   0.    0.
  36 -47.3 99.0  19.5 351.  136.   0.    0.
  35 -46.9 99.0  22.5 350.  150.   0.    0.
  34 -46.8 99.0  26.7 356.  164.   0.    0.
  33 -47.6 99.0  34.6 352.  178.   0.    0.
  32 -49.5 99.0  43.3 341.  192.   0.    0.
  31 -50.6 22.2  47.6 339.  206.   6.    0.
  30 -53.8 10.7  64.5 350.  220.  26.    0.
  29 -56.0  5.8  80.8 341.  234.  48.    1.
  28 -53.8  4.4  81.4 337.  249.  59.    1.
  27 -50.2  3.2  79.0 337.  266.  68.    0.
  26 -46.5  3.5  75.9 336.  284.  67.   -2.
  25 -42.3  3.5  73.2 334.  305.  69.   -3.
  24 -38.2  3.3  70.3 332.  327.  71.   -3.
  23 -34.7  3.4  63.4 334.  353.  71.    0.
  22 -32.4  4.9  48.8 338.  381.  61.    1.
  21 -29.1 11.5  39.9 337.  412.  32.    0.
  20 -24.7 13.8  36.4 334.  447.  27.   -1.
  19 -20.3 13.2  32.7 332.  486.  30.   -1.
  18 -15.9 12.8  28.6 330.  529.  32.   -1.
  17 -11.6 13.2  23.7 328.  578.  33.   -2.
  16  -7.5 19.2  19.9 326.  628.  20.   -1.
  15  -4.2 23.6  18.1 325.  675.  14.   -1.
  14  -1.3 22.7  17.2 328.  720.  16.   -1.
  13   1.3 20.7  15.7 332.  761.  20.    0.
  12   3.7 20.8  12.8 332.  799.  20.    0.
  11   5.5 21.7   8.8 329.  834.  19.    0.
  10   6.9 20.0   5.1 323.  866.  23.    0.
   9   8.1 18.0   1.4 326.  895.  27.    1.
   8   9.1 17.6   3.2 123.  921.  28.    1.
   7   9.7 19.9   8.5 135.  945.  24.    1.
   6   9.6 20.1  14.9 139.  967.  23.    1.
   5   8.8 17.7  20.2 136.  985.  28.    1.
   4   6.2 11.7  19.7 135.  999.  43.    0.
   3   3.9  5.4  13.1 125. 1009.  68.    0.
   2   4.2  5.0  11.8 124. 1015.  70.    0.
   1   4.3  4.2   7.5 121. 1018.  74.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1019.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 2
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.2 99.0  26.2 125.   12.   0.    0.
  49 -38.8 99.0  18.2 129.   17.   0.    0.
  48 -42.7 99.0  13.3 141.   22.   0.    0.
  47 -44.3 99.0  13.1 150.   28.   0.    0.
  46 -45.4 99.0  13.2 147.   34.   0.    0.
  45 -46.2 99.0  12.1 138.   40.   0.    0.
  44 -46.8 99.0   9.8 131.   47.   0.    0.
  43 -47.2 99.0   8.5 122.   54.   0.    0.
  42 -47.6 99.0   6.7 100.   62.   0.    0.
  41 -48.2 99.0   6.0  77.   71.   0.    0.
  40 -47.9 99.0   6.3  47.   81.   0.    0.
  39 -47.3 99.0   8.9   9.   94.   0.    0.
  38 -46.8 99.0  11.9   7.  108.   0.    0.
  37 -47.0 99.0  15.5   9.  122.   0.    0.
  36 -47.6 99.0  19.9 357.  136.   0.    0.
  35 -47.5 99.0  22.2 349.  150.   0.    0.
  34 -47.0 99.0  25.6 351.  164.   0.    0.
  33 -47.3 99.0  33.3 349.  178.   0.    0.
  32 -49.4 99.0  43.8 341.  192.   0.    0.
  31 -51.7 21.1  51.4 339.  206.   6.    0.
  30 -53.5 11.0  62.0 346.  220.  25.    0.
  29 -54.3  5.8  76.5 340.  234.  49.    0.
  28 -53.5  4.7  78.3 337.  249.  57.    1.
  27 -49.9  4.4  77.9 338.  266.  59.    2.
  26 -46.2  4.4  74.2 338.  284.  61.    2.
  25 -42.7  4.0  71.1 336.  305.  65.    0.
  24 -38.8  3.3  66.6 330.  327.  71.   -2.
  23 -34.8  3.0  60.1 325.  353.  74.   -4.
  22 -31.1  3.1  52.6 328.  381.  74.   -2.
  21 -28.8  4.0  38.5 337.  412.  68.    1.
  20 -25.1  9.5  33.4 334.  447.  41.    1.
  19 -20.5 15.2  33.0 329.  486.  24.   -1.
  18 -16.2 15.2  29.0 325.  529.  26.   -1.
  17 -11.6 16.8  24.9 322.  578.  23.    0.
  16  -7.6 20.3  21.1 322.  628.  18.    0.
  15  -4.4 22.4  19.3 325.  675.  16.    0.
  14  -1.3 22.4  17.8 330.  720.  16.    0.
  13   1.2 20.7  15.6 336.  761.  20.    0.
  12   3.6 20.3  12.8 336.  799.  21.    0.
  11   5.4 21.3   8.9 334.  834.  20.    0.
  10   6.9 20.0   5.2 333.  866.  23.    1.
   9   8.1 18.0   1.7 360.  895.  27.    1.
   8   9.2 17.7   3.7 108.  921.  28.    1.
   7   9.7 20.0   8.7 130.  945.  23.    1.
   6   9.6 20.0  15.4 135.  967.  23.    1.
   5   8.9 18.7  18.0 133.  985.  26.    1.
   4   5.8 10.2  17.6 131.  999.  48.    0.
   3   4.4  5.1  11.6 123. 1009.  70.    0.
   2   4.8  5.0  10.5 121. 1015.  70.    0.
   1   5.1  4.7   8.1 120. 1018.  72.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1019.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 3
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.0 99.0  24.1 132.   12.   0.    0.
  49 -38.1 99.0  19.3 133.   17.   0.    0.
  48 -42.5 99.0  13.9 136.   22.   0.    0.
  47 -44.5 99.0  11.5 154.   28.   0.    0.
  46 -45.3 99.0  12.1 154.   34.   0.    0.
  45 -46.0 99.0  12.9 142.   40.   0.    0.
  44 -46.7 99.0  10.9 137.   47.   0.    0.
  43 -47.2 99.0   8.1 136.   54.   0.    0.
  42 -47.5 99.0   5.1 122.   62.   0.    0.
  41 -47.7 99.0   3.5  87.   71.   0.    0.
  40 -47.9 99.0   6.2  58.   81.   0.    0.
  39 -47.8 99.0   9.2  21.   94.   0.    0.
  38 -47.3 99.0  11.7   3.  108.   0.    0.
  37 -47.1 99.0  15.0   5.  122.   0.    0.
  36 -47.3 99.0  20.2 357.  136.   0.    0.
  35 -47.6 99.0  23.3 348.  150.   0.    0.
  34 -47.3 99.0  26.4 348.  164.   0.    0.
  33 -47.4 99.0  34.1 345.  178.   0.    0.
  32 -48.6 99.0  43.5 338.  192.   0.    0.
  31 -51.4 21.4  52.5 341.  206.   6.    0.
  30 -53.8  8.5  63.7 345.  220.  34.    0.
  29 -54.0  6.1  76.0 339.  234.  47.    0.
  28 -52.9  5.3  76.6 335.  249.  53.    1.
  27 -49.8  4.5  74.8 337.  266.  59.    1.
